INSERT INTO [User] (UID, userName, password, fullName, gender, phone, email, role, status, signupDate, expiredDate, MID, avatar)
VALUES
('UID0', 'Emily', '1', 'Emily Johnson', 'female', '0987654321', 'emily.johnson@gmail.com', 'member', 'activated', CONVERT(DATETIME, '1/1/2023', 103), CONVERT(DATETIME, '10/10/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID11', 'Hiroshi', 'hiroshisato#456', 'Hiroshi Sato', 'male', '0812345679', 'hiroshi.sato@gmail.com', 'member', 'activated', CONVERT(DATETIME, '12/2/2023', 103), CONVERT(DATETIME, '12/5/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID12', 'Mia', 'miataylor#789', 'Mia Taylor', 'female', '0887654321', 'mia.taylor@gmail.com', 'member', 'activated', CONVERT(DATETIME, '13/2/2023', 103), CONVERT(DATETIME, '13/5/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID13', 'Yui', 'yuiito#012', 'Yui Ito', 'female', '0854321098', 'yui.ito@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '14/2/2023', 103), CONVERT(DATETIME, '14/5/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID14', 'Lucas', 'lucaslee#345', 'Lucas Lee', 'female', '0823456789', 'lucas.lee@gmail.com', 'member', 'activated', CONVERT(DATETIME, '15/2/2023', 103), CONVERT(DATETIME, '15/5/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID15', 'Sakura', 'sakuratakahashi#678', 'Sakura Takahashi', 'female', '0898765432', 'sakura.takahashi@gmail.com', 'member', 'activated', CONVERT(DATETIME, '16/2/2023', 103), CONVERT(DATETIME, '16/5/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID16', 'Isabella', 'isabellabrown#901', 'Isabella Brown', 'female', '0865432109', 'isabella.brown@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '17/2/2023', 103), CONVERT(DATETIME, '17/5/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID17', 'Kazuki', 'kazukiwatanabe#234', 'Kazuki Watanabe', 'male', '0834567890', 'kazuki.watanabe@gmail.com', 'member', 'activated', CONVERT(DATETIME, '18/2/2023', 103), CONVERT(DATETIME, '18/5/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID18', 'Harper', 'harperjohnson#567', 'Harper Johnson', 'female', '0843210987', 'harper.johnson@gmail.com', 'member', 'activated', CONVERT(DATETIME, '19/2/2023', 103), CONVERT(DATETIME, '19/5/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID19', 'Ayumi', 'ayuminakamura#890', 'Ayumi Nakamura', 'female', '0801234567', 'ayumi.nakamura@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '20/2/2023', 103), CONVERT(DATETIME, '20/5/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID20', 'Michael', 'michaeldavis#123', 'Michael Davis', 'male', '0776543210', 'michael.davis@gmail.com', 'member', 'activated', CONVERT(DATETIME, '21/3/2023', 103), CONVERT(DATETIME, '21/9/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID21', 'Haru', 'harusuzuki#456', 'Haru Suzuki', 'male', '0712345678', 'haru.suzuki@gmail.com', 'member', 'activated', CONVERT(DATETIME, '22/3/2023', 103), CONVERT(DATETIME, '22/9/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID22', 'Charlotte', 'charlottewilson#789', 'Charlotte Wilson', 'female', '0787654321', 'charlotte.wilson@gmail.com', 'member', 'activated', CONVERT(DATETIME, '23/3/2023', 103), CONVERT(DATETIME, '23/9/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID23', 'Riku', 'rikutanaka#012', 'Riku Tanaka', 'female', '0754321098', 'riku.tanaka@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '24/3/2023', 103), CONVERT(DATETIME, '24/9/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID24', 'Liam', 'liamsmith#345', 'Liam Smith', 'female', '0723456789', 'liam.smith@gmail.com', 'member', 'activated', CONVERT(DATETIME, '25/3/2023', 103), CONVERT(DATETIME, '25/9/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID25', 'Hana', 'hanayamamoto#678', 'Hana Yamamoto', 'female', '0798765432', 'hana.yamamoto@gmail.com', 'member', 'activated', CONVERT(DATETIME, '26/3/2023', 103), CONVERT(DATETIME, '26/9/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID26', 'Amelia', 'ameliaclark#901', 'Amelia Clark', 'female', '0765432109', 'amelia.clark@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '27/3/2023', 103), CONVERT(DATETIME, '27/9/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID27', 'Yuki1', 'yukikato#234', 'Yuki Kato', 'male', '0734567890', 'yuki.kato@gmail.com', 'member', 'activated', CONVERT(DATETIME, '28/3/2023', 103), CONVERT(DATETIME, '28/9/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID28', 'James', 'jamesmiller#567', 'James Miller', 'female', '0743210987', 'james.miller@gmail.com', 'member', 'activated', CONVERT(DATETIME, '29/3/2023', 103), CONVERT(DATETIME, '29/9/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID29', 'Sakura1', 'sakurayamada#890', 'Sakura Yamada', 'female', '0701234567', 'sakura.yamada@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '30/3/2023', 103), CONVERT(DATETIME, '30/9/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID30', 'Sophia1', 'sophiataylor#123', 'Sophia Taylor', 'male', '0676543210', 'sophia.taylor@gmail.com', 'member', 'activated', CONVERT(DATETIME, '1/4/2023', 103), CONVERT(DATETIME, '1/5/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID31', 'Hiroshi1', 'hiroshinakamura#456', 'Hiroshi Nakamura', 'male', '0612345678', 'hiroshi.nakamura@gmail.com', 'member', 'activated', CONVERT(DATETIME, '2/4/2023', 103), CONVERT(DATETIME, '2/5/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID32', 'Olivia1', 'oliviamoore#789', 'Olivia Moore', 'female', '0687654321', 'olivia.moore@gmail.com', 'member', 'activated', CONVERT(DATETIME, '3/4/2023', 103), CONVERT(DATETIME, '3/5/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID33', 'Ren1', 'rensuzuki#012', 'Ren Suzuki', 'female', '0654321098', 'ren.suzuki@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '4/4/2023', 103), CONVERT(DATETIME, '4/5/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID34', 'Ethan1', 'ethanjohnson#345', 'Ethan Johnson', 'female', '0623456789', 'ethan.johnson@gmail.com', 'member', 'activated', CONVERT(DATETIME, '5/4/2023', 103), CONVERT(DATETIME, '5/5/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID35', 'Aya', 'ayatanaka#678', 'Aya Tanaka', 'female', '0698765432', 'aya.tanaka@gmail.com', 'member', 'activated', CONVERT(DATETIME, '6/4/2023', 103), CONVERT(DATETIME, '6/5/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID36', 'Noah1', 'noahanderson#901', 'Noah Anderson', 'female', '0665432109', 'noah.anderson@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '7/4/2023', 103), CONVERT(DATETIME, '7/5/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID37', 'Mei', 'meiwatanabe#234', 'Mei Watanabe', 'male', '0634567890', 'mei.watanabe@gmail.com', 'member', 'activated', CONVERT(DATETIME, '8/4/2023', 103), CONVERT(DATETIME, '8/5/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID38', 'Ava1', 'avamartinez2#567', 'Ava Martinez', 'female', '0643210987', 'ava.martinez2@gmail.com', 'member', 'activated', CONVERT(DATETIME, '9/4/2023', 103), CONVERT(DATETIME, '9/5/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID39', 'Kai', 'kaisato#890', 'Kai Sato', 'female', '0601234567', 'kai.sato@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '10/4/2023', 103), CONVERT(DATETIME, '10/5/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID40', 'Mia1', 'miawilson2#123', 'Mia Wilson', 'male', '0576543210', 'mia.wilson2@gmail.com', 'member', 'activated', CONVERT(DATETIME, '11/5/2023', 103), CONVERT(DATETIME, '11/8/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID41', 'Haruki1', 'harukikimura#456', 'Haruki Kimura', 'male', '0512345678', 'haruki.kimura@gmail.com', 'member', 'activated', CONVERT(DATETIME, '12/5/2023', 103), CONVERT(DATETIME, '12/8/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID42', 'Lucas1', 'lucasgarcia#789', 'Lucas Garcia', 'female', '0587654321', 'lucas.garcia@gmail.com', 'member', 'activated', CONVERT(DATETIME, '13/5/2023', 103), CONVERT(DATETIME, '13/8/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID43', 'Sakura2', 'sakuratakahashi2#012', 'Sakura Takahashi', 'female', '0554321098', 'sakura.takahashi2@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '14/5/2023', 103), CONVERT(DATETIME, '14/8/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID44', 'Isabella1', 'isabellahernandez#345', 'Isabella Hernandez', 'female', '0523456789', 'isabella.hernandez@gmail.com', 'member', 'activated', CONVERT(DATETIME, '15/5/2023', 103), CONVERT(DATETIME, '15/8/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID45', 'Ryo', 'ryoyamamoto#678', 'Ryo Yamamoto', 'female', '0598765432', 'ryo.yamamoto@gmail.com', 'member', 'activated', CONVERT(DATETIME, '16/5/2023', 103), CONVERT(DATETIME, '16/8/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID46', 'Harper1', 'harperdavis2#901', 'Harper Davis', 'female', '0565432109', 'harper.davis2@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '17/5/2023', 103), CONVERT(DATETIME, '17/8/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID47', 'Ayaka', 'ayakanakamura#234', 'Ayaka Nakamura', 'male', '0534567890', 'ayaka.nakamura@gmail.com', 'member', 'activated', CONVERT(DATETIME, '18/5/2023', 103), CONVERT(DATETIME, '18/8/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID48', 'Michael1', 'michaelwilson2#567', 'Michael Wilson', 'female', '0543210987', 'michael.wilson2@gmail.com', 'member', 'activated', CONVERT(DATETIME, '19/5/2023', 103), CONVERT(DATETIME, '19/8/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID49', 'Yui1', 'yuisuzuki#890', 'Yui Suzuki', 'female', '0501234567', 'yui.suzuki@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '20/5/2023', 103), CONVERT(DATETIME, '20/8/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
('UID50', 'Liam1', 'liamthomas#123', 'Liam Thomas', 'male', '0476543210', 'liam.thomas@gmail.com', 'member', 'activated', CONVERT(DATETIME, '21/6/2023', 103), CONVERT(DATETIME, '21/12/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID51', 'Hana1', 'hanasaito#456', 'Hana Saito', 'male', '0412345678', 'hana.saito@gmail.com', 'member', 'activated', CONVERT(DATETIME, '22/6/2023', 103), CONVERT(DATETIME, '22/12/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID52', 'Charlotte1', 'charlottejohnson2#789', 'Charlotte Johnson', 'female', '0487654321', 'charlotte.johnson2@gmail.com', 'member', 'activated', CONVERT(DATETIME, '23/6/2023', 103), CONVERT(DATETIME, '23/12/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID53', 'Kazuki1', 'kazukinakamura2#012', 'Kazuki Nakamura', 'female', '0454321098', 'kazuki.nakamura2@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '24/6/2023', 103), CONVERT(DATETIME, '24/12/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID54', 'Amelia1', 'ameliadavis2#345', 'Amelia Davis', 'female', '0423456789', 'amelia.davis2@gmail.com', 'member', 'activated', CONVERT(DATETIME, '25/6/2023', 103), CONVERT(DATETIME, '25/12/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID55', 'Kaito', 'kaitotanaka#678', 'Kaito Tanaka', 'female', '0498765432', 'kaito.tanaka@gmail.com', 'member', 'activated', CONVERT(DATETIME, '26/6/2023', 103), CONVERT(DATETIME, '26/12/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID56', 'Sophia2', 'sophiamiller2#901', 'Sophia Miller', 'female', '0465432109', 'sophia.miller2@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '27/6/2023', 103), CONVERT(DATETIME, '27/12/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID57', 'Hiroki', 'hirokiyamamoto#234', 'Hiroki Yamamoto', 'male', '0434567890', 'hiroki.yamamoto@gmail.com', 'member', 'activated', CONVERT(DATETIME, '28/6/2023', 103), CONVERT(DATETIME, '28/12/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID58', 'Olivia', 'oliviaroberts#567', 'Olivia Roberts', 'female', '0443210987', 'olivia.roberts@gmail.com', 'member', 'activated', CONVERT(DATETIME, '29/6/2023', 103), CONVERT(DATETIME, '29/12/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('UID59', 'Ren2', 'renwatanabe2#890', 'Ren Watanabe', 'female', '0401234567', 'ren.watanabe2@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '30/6/2023', 103), CONVERT(DATETIME, '30/12/2023', 103), 'MID03', 'https://logodix.com/logo/1070634.png'),
('S01', 'Duc', 'DucStaff123', 'Le Duc', 'male', '0831750296', 'dr@gmail.com', 'staff', 'activated', '2020-02-03 00:00:00.000', '2030-02-03 00:00:00.000', NULL, 'https://logodix.com/logo/1070634.png'),
('S02', 'Nhat', 'NhatStaff123', 'Le Nhat', 'male', '0376543210', 'nr@gmail.com', 'staff', 'activated', '2020-02-03 00:00:00.000', '2030-02-03 00:00:00.000', NULL, 'https://logodix.com/logo/1070634.png'),
('S03', 'Tue', 'TueStaff123', 'Minh Tue', 'male', '0312345678', 'tr@gmail.com', 'staff', 'activated', '2020-02-03 00:00:00.000', '2030-02-03 00:00:00.000', NULL, 'https://logodix.com/logo/1070634.png'),
('S04', 'Viet', 'VietStaff123', 'Dai Viet', 'male', '0387654321', 'vr@gmail.com', 'staff', 'activated', '2020-02-03 00:00:00.000', '2030-02-03 00:00:00.000', NULL, 'https://logodix.com/logo/1070634.png'),
('S05', 'Cuong', 'CuongStaff123', 'Truong Cuong', 'male', '0354321098', 'cr@gmail.com', 'staff', 'activated', '2020-02-03 00:00:00.000', '2030-02-03 00:00:00.000', NULL, 'https://logodix.com/logo/1070634.png');

